config	seed	exit	sig12	scanlines
ctr_ts-1e2	4	0	f737e801b6f0	1
ctr_ts-1e2	5	0	627cad770254	1
ctr_ts-1e2	6	0	e73004ccc492	1
ctr_ts-1e2	7	0	7f892238f3a0	1
ctr_ts-1e2	8	0	db9aa2d4283c	1
ctr_ts-1e2	9	0	51f40b44dbdf	1
ctr_ts-1e2	10	0	42f0498cbd38	1
ctr_ts-1e2	11	0	bef01c12fd5e	1
ctr_ts-1e2	12	0	65b4cb631a36	1
ctr_ts-1e2	13	0	021e33b8ca9c	1
ctr_ts-1e2	14	0	e5fb499ef22d	1
ctr_ts-1e2	15	0	1d819520469b	1
ctr_ts-1e2	16	0	339874c89bda	1
ctr_ts-1e2	17	0	27718e386606	1
ctr_ts-1e2	18	0	fd2137fe3798	1
ctr_ts-1e2	19	0	51173bca6ecb	1
ctr_ts-1e2	20	0	6b1183af1a11	1
ctr_ts-1e2	21	0	41d542e2281d	1
ctr_ts-1e2	22	0	01fcf74c69d5	1
ctr_ts-1e2	23	0	ad8b18c274ab	1
ctr_ts-1e2	24	0	fc70e68c6d87	1
ctr_ts-1e2	25	0	d439b20605de	1
ctr_ts-1e2	26	0	8a5892ff4003	1
ctr_ts-1e2	27	0	51ef2520fa7d	1
ctr_ts-1e2	28	0	599b55777be1	1
ctr_ts-1e2	29	0	c5e6c69bf72c	1
ctr_ts-1e2	30	0	54a0a6ee80ca	1
chaos_maxts-1e6	1	0	e9ed0d2ac4d9	1
chaos_maxts-1e6	2	0	e9ed0d2ac4d9	1
chaos_maxts-1e6	3	0	e9ed0d2ac4d9	1
chaos_maxts-1e6	4	0	e9ed0d2ac4d9	1
chaos_maxts-1e6	5	0	beffe73fffb0	1
chaos_maxts-1e6	6	0	e9ed0d2ac4d9	1
chaos_maxts-1e6	7	0	e9ed0d2ac4d9	1
chaos_maxts-1e6	8	0	e9ed0d2ac4d9	1
chaos_maxts-1e6	9	0	e9ed0d2ac4d9	1
chaos_maxts-1e6	10	0	beffe73fffb0	1
chaos_maxts-1e6	11	0	e9ed0d2ac4d9	1
chaos_maxts-1e6	12	0	e9ed0d2ac4d9	1
chaos_maxts-1e6	13	0	e9ed0d2ac4d9	1
chaos_maxts-1e6	14	0	e9ed0d2ac4d9	1
chaos_maxts-1e6	15	0	e9ed0d2ac4d9	1
chaos_maxts-1e6	16	0	e9ed0d2ac4d9	1
chaos_maxts-1e6	17	0	e9ed0d2ac4d9	1
chaos_maxts-1e6	18	0	e9ed0d2ac4d9	1
chaos_maxts-1e6	19	0	e9ed0d2ac4d9	1
chaos_maxts-1e6	20	0	e9ed0d2ac4d9	1
chaos_maxts-1e6	21	0	e9ed0d2ac4d9	1
chaos_maxts-1e6	22	0	e9ed0d2ac4d9	1
chaos_maxts-1e6	23	0	e9ed0d2ac4d9	1
chaos_maxts-1e6	24	0	e9ed0d2ac4d9	1
chaos_maxts-1e6	25	0	e9ed0d2ac4d9	1
chaos_maxts-1e6	26	0	e9ed0d2ac4d9	1
chaos_maxts-1e6	27	0	e9ed0d2ac4d9	1
chaos_maxts-1e6	28	0	e9ed0d2ac4d9	1
chaos_maxts-1e6	29	0	e9ed0d2ac4d9	1
chaos_maxts-1e6	30	0	e9ed0d2ac4d9	1
chaos_maxts-1e5	1	0	e9ed0d2ac4d9	1
chaos_maxts-1e5	2	0	e9ed0d2ac4d9	1
chaos_maxts-1e5	3	0	e9ed0d2ac4d9	1
chaos_maxts-1e5	4	0	e9ed0d2ac4d9	1
chaos_maxts-1e5	5	0	e9ed0d2ac4d9	1
chaos_maxts-1e5	6	0	beffe73fffb0	1
chaos_maxts-1e5	7	0	e9ed0d2ac4d9	1
chaos_maxts-1e5	8	0	e9ed0d2ac4d9	1
chaos_maxts-1e5	9	0	e9ed0d2ac4d9	1
chaos_maxts-1e5	10	0	e9ed0d2ac4d9	1
chaos_maxts-1e5	11	0	e9ed0d2ac4d9	1
chaos_maxts-1e5	12	0	e9ed0d2ac4d9	1
chaos_maxts-1e5	13	0	e9ed0d2ac4d9	1
chaos_maxts-1e5	14	0	e9ed0d2ac4d9	1
chaos_maxts-1e5	15	0	e9ed0d2ac4d9	1
chaos_maxts-1e5	16	0	e9ed0d2ac4d9	1
chaos_maxts-1e5	17	0	e9ed0d2ac4d9	1
chaos_maxts-1e5	18	0	e9ed0d2ac4d9	1
chaos_maxts-1e5	19	0	e9ed0d2ac4d9	1
chaos_maxts-1e5	20	0	e9ed0d2ac4d9	1
