cell_id,backend,verdict,tier,golden_rc,backend_rc,detail
backend-parity-c/cpuid-probe,dbi,DIVERGES,L0,1,0,exit 0 vs golden 1: reverie-dbi: tool=Detcore branches=22785 syscalls=37 rewritten=36 stdin_reads=0 memory_hash=8173631d3d2fe092
backend-parity-c/mincore-residency,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/mkdir-rmdir,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/mknod-special,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/msync-writeback,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/name-to-handle-refusal,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/no-new-privs-refusal,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0"
backend-parity-c/numa-node-identity,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0"
backend-parity-c/openat-flags,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/openat2-refusal,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/path-file-ops,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/pidfd-open-self,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
