cell	backend	run	rc	detlog_records	refusal
heap_fragment_reuse	dbi	19	0	96	
heap_fragment_reuse	dbi	20	0	96	
heap_fragment_reuse	dbi	21	0	96	
heap_fragment_reuse	dbi	22	0	96	
heap_fragment_reuse	dbi	23	0	96	
heap_fragment_reuse	dbi	24	0	96	
heap_fragment_reuse	dbi	25	0	96	
heap_fragment_reuse	dbi	26	0	96	
heap_fragment_reuse	dbi	27	0	96	
heap_fragment_reuse	dbi	28	0	96	
heap_fragment_reuse	dbi	29	0	96	
heap_fragment_reuse	dbi	30	0	96	
heap_fragment_reuse	sabre	1	0	81	
heap_fragment_reuse	sabre	2	0	81	
heap_fragment_reuse	sabre	3	0	81	
heap_fragment_reuse	sabre	4	0	81	
heap_fragment_reuse	sabre	5	0	81	
heap_fragment_reuse	sabre	6	0	81	
heap_fragment_reuse	sabre	7	0	81	
heap_fragment_reuse	sabre	8	0	81	
heap_fragment_reuse	sabre	9	0	81	
heap_fragment_reuse	sabre	10	0	81	
heap_fragment_reuse	sabre	11	0	81	
heap_fragment_reuse	sabre	12	0	81	
heap_fragment_reuse	sabre	13	0	81	
heap_fragment_reuse	sabre	14	0	81	
heap_fragment_reuse	sabre	15	0	81	
heap_fragment_reuse	sabre	16	0	81	
heap_fragment_reuse	sabre	17	0	81	
heap_fragment_reuse	sabre	18	0	81	
heap_fragment_reuse	sabre	19	0	81	
heap_fragment_reuse	sabre	20	0	81	
heap_fragment_reuse	sabre	21	0	81	
heap_fragment_reuse	sabre	22	0	81	
heap_fragment_reuse	sabre	23	0	81	
heap_fragment_reuse	sabre	24	0	81	
heap_fragment_reuse	sabre	25	0	81	
heap_fragment_reuse	sabre	26	0	81	
heap_fragment_reuse	sabre	27	0	81	
heap_fragment_reuse	sabre	28	0	81	
heap_fragment_reuse	sabre	29	0	81	
heap_fragment_reuse	sabre	30	0	81	
heap_fragment_reuse	e9patch	1	0	98	
heap_fragment_reuse	e9patch	2	0	98	
heap_fragment_reuse	e9patch	3	0	98	
heap_fragment_reuse	e9patch	4	0	98	
heap_fragment_reuse	e9patch	5	0	98	
heap_fragment_reuse	e9patch	6	0	98	
heap_fragment_reuse	e9patch	7	0	98	
heap_fragment_reuse	e9patch	8	0	98	
heap_fragment_reuse	e9patch	9	0	98	
heap_fragment_reuse	e9patch	10	0	98	
heap_fragment_reuse	e9patch	11	0	98	
heap_fragment_reuse	e9patch	12	0	98	
heap_fragment_reuse	e9patch	13	0	98	
heap_fragment_reuse	e9patch	14	0	98	
heap_fragment_reuse	e9patch	15	0	98	
heap_fragment_reuse	e9patch	16	0	98	
heap_fragment_reuse	e9patch	17	0	98	
heap_fragment_reuse	e9patch	18	0	98	
heap_fragment_reuse	e9patch	19	0	98	
heap_fragment_reuse	e9patch	20	0	98	
heap_fragment_reuse	e9patch	21	0	98	
heap_fragment_reuse	e9patch	22	0	98	
heap_fragment_reuse	e9patch	23	0	98	
heap_fragment_reuse	e9patch	24	0	98	
heap_fragment_reuse	e9patch	25	0	98	
heap_fragment_reuse	e9patch	26	0	98	
heap_fragment_reuse	e9patch	27	0	98	
heap_fragment_reuse	e9patch	28	0	98	
heap_fragment_reuse	e9patch	29	0	98	
heap_fragment_reuse	e9patch	30	0	98	
stack_deep_recursion	ptrace	1	0	80	
stack_deep_recursion	ptrace	2	0	80	
stack_deep_recursion	ptrace	3	0	80	
stack_deep_recursion	ptrace	4	0	80	
stack_deep_recursion	ptrace	5	0	80	
stack_deep_recursion	ptrace	6	0	80	
stack_deep_recursion	ptrace	7	0	80	
stack_deep_recursion	ptrace	8	0	80	
stack_deep_recursion	ptrace	9	0	80	
stack_deep_recursion	ptrace	10	0	80	
stack_deep_recursion	ptrace	11	0	80	
stack_deep_recursion	ptrace	12	0	80	
stack_deep_recursion	ptrace	13	0	80	
stack_deep_recursion	ptrace	14	0	80	
stack_deep_recursion	ptrace	15	0	80	
stack_deep_recursion	ptrace	16	0	80	
stack_deep_recursion	ptrace	17	0	80	
stack_deep_recursion	ptrace	18	0	80	
stack_deep_recursion	ptrace	19	0	80	
stack_deep_recursion	ptrace	20	0	80	
stack_deep_recursion	ptrace	21	0	80	
stack_deep_recursion	ptrace	22	0	80	
stack_deep_recursion	ptrace	23	0	80	
stack_deep_recursion	ptrace	24	0	80	
stack_deep_recursion	ptrace	25	0	80	
stack_deep_recursion	ptrace	26	0	80	
stack_deep_recursion	ptrace	27	0	80	
stack_deep_recursion	ptrace	28	0	80	
stack_deep_recursion	ptrace	29	0	80	
stack_deep_recursion	ptrace	30	0	80	
stack_deep_recursion	kvm	1	0	80	
stack_deep_recursion	kvm	2	0	80	
stack_deep_recursion	kvm	3	0	80	
stack_deep_recursion	kvm	4	0	80	
stack_deep_recursion	kvm	5	0	80	
stack_deep_recursion	kvm	6	0	80	
stack_deep_recursion	kvm	7	0	80	
stack_deep_recursion	kvm	8	0	80	
stack_deep_recursion	kvm	9	0	80	
stack_deep_recursion	kvm	10	0	80	
stack_deep_recursion	kvm	11	0	80	
stack_deep_recursion	kvm	12	0	80	
stack_deep_recursion	kvm	13	0	80	
stack_deep_recursion	kvm	14	0	80	
stack_deep_recursion	kvm	15	0	80	
stack_deep_recursion	kvm	16	0	80	
stack_deep_recursion	kvm	17	0	80	
stack_deep_recursion	kvm	18	0	80	
stack_deep_recursion	kvm	19	0	80	
stack_deep_recursion	kvm	20	0	80	
stack_deep_recursion	kvm	21	0	80	
stack_deep_recursion	kvm	22	0	80	
stack_deep_recursion	kvm	23	0	80	
stack_deep_recursion	kvm	24	0	80	
stack_deep_recursion	kvm	25	0	80	
stack_deep_recursion	kvm	26	0	80	
stack_deep_recursion	kvm	27	0	80	
stack_deep_recursion	kvm	28	0	80	
stack_deep_recursion	kvm	29	0	80	
stack_deep_recursion	kvm	30	0	80	
stack_deep_recursion	liteinst	1	0	818	
stack_deep_recursion	liteinst	2	0	818	
stack_deep_recursion	liteinst	3	0	818	
stack_deep_recursion	liteinst	4	0	818	
stack_deep_recursion	liteinst	5	0	818	
stack_deep_recursion	liteinst	6	0	818	
stack_deep_recursion	liteinst	7	0	818	
stack_deep_recursion	liteinst	8	0	818	
stack_deep_recursion	liteinst	9	0	818	
stack_deep_recursion	liteinst	10	0	818	
stack_deep_recursion	liteinst	11	0	818	
stack_deep_recursion	liteinst	12	0	818	
stack_deep_recursion	liteinst	13	0	818	
stack_deep_recursion	liteinst	14	0	818	
stack_deep_recursion	liteinst	15	0	818	
stack_deep_recursion	liteinst	16	0	818	
stack_deep_recursion	liteinst	17	0	818	
stack_deep_recursion	liteinst	18	0	818	
stack_deep_recursion	liteinst	19	0	818	
