cell	backend	run	rc	detlog_records	mapped_sites	refusal
mixed_inline_and_libc_syscalls	liteinst	22	0	828	n/a	
mixed_inline_and_libc_syscalls	liteinst	23	0	828	n/a	
mixed_inline_and_libc_syscalls	liteinst	24	0	828	n/a	
mixed_inline_and_libc_syscalls	liteinst	25	0	828	n/a	
mixed_inline_and_libc_syscalls	liteinst	26	0	828	n/a	
mixed_inline_and_libc_syscalls	liteinst	27	0	828	n/a	
mixed_inline_and_libc_syscalls	liteinst	28	0	828	n/a	
mixed_inline_and_libc_syscalls	liteinst	29	0	828	n/a	
mixed_inline_and_libc_syscalls	liteinst	30	0	828	n/a	
static_nolibc_syscall_sites	ptrace	1	0	15	n/a	
static_nolibc_syscall_sites	ptrace	2	0	15	n/a	
static_nolibc_syscall_sites	ptrace	3	0	15	n/a	
static_nolibc_syscall_sites	ptrace	4	0	15	n/a	
static_nolibc_syscall_sites	ptrace	5	0	15	n/a	
static_nolibc_syscall_sites	ptrace	6	0	15	n/a	
static_nolibc_syscall_sites	ptrace	7	0	15	n/a	
static_nolibc_syscall_sites	ptrace	8	0	15	n/a	
static_nolibc_syscall_sites	ptrace	9	0	15	n/a	
static_nolibc_syscall_sites	ptrace	10	0	15	n/a	
static_nolibc_syscall_sites	ptrace	11	0	15	n/a	
static_nolibc_syscall_sites	ptrace	12	0	15	n/a	
static_nolibc_syscall_sites	ptrace	13	0	15	n/a	
static_nolibc_syscall_sites	ptrace	14	0	15	n/a	
static_nolibc_syscall_sites	ptrace	15	0	15	n/a	
static_nolibc_syscall_sites	ptrace	16	0	15	n/a	
static_nolibc_syscall_sites	ptrace	17	0	15	n/a	
static_nolibc_syscall_sites	ptrace	18	0	15	n/a	
static_nolibc_syscall_sites	ptrace	19	0	15	n/a	
static_nolibc_syscall_sites	ptrace	20	0	15	n/a	
static_nolibc_syscall_sites	ptrace	21	0	15	n/a	
static_nolibc_syscall_sites	ptrace	22	0	15	n/a	
static_nolibc_syscall_sites	ptrace	23	0	15	n/a	
static_nolibc_syscall_sites	ptrace	24	0	15	n/a	
static_nolibc_syscall_sites	ptrace	25	0	15	n/a	
static_nolibc_syscall_sites	ptrace	26	0	15	n/a	
static_nolibc_syscall_sites	ptrace	27	0	15	n/a	
static_nolibc_syscall_sites	ptrace	28	0	15	n/a	
static_nolibc_syscall_sites	ptrace	29	0	15	n/a	
static_nolibc_syscall_sites	ptrace	30	0	15	n/a	
static_nolibc_syscall_sites	kvm	1	0	15	n/a	
static_nolibc_syscall_sites	kvm	2	0	15	n/a	
static_nolibc_syscall_sites	kvm	3	0	15	n/a	
static_nolibc_syscall_sites	kvm	4	0	15	n/a	
static_nolibc_syscall_sites	kvm	5	0	15	n/a	
static_nolibc_syscall_sites	kvm	6	0	15	n/a	
static_nolibc_syscall_sites	kvm	7	0	15	n/a	
static_nolibc_syscall_sites	kvm	8	0	15	n/a	
static_nolibc_syscall_sites	kvm	9	0	15	n/a	
static_nolibc_syscall_sites	kvm	10	0	15	n/a	
static_nolibc_syscall_sites	kvm	11	0	15	n/a	
static_nolibc_syscall_sites	kvm	12	0	15	n/a	
static_nolibc_syscall_sites	kvm	13	0	15	n/a	
static_nolibc_syscall_sites	kvm	14	0	15	n/a	
static_nolibc_syscall_sites	kvm	15	0	15	n/a	
static_nolibc_syscall_sites	kvm	16	0	15	n/a	
static_nolibc_syscall_sites	kvm	17	0	15	n/a	
static_nolibc_syscall_sites	kvm	18	0	15	n/a	
static_nolibc_syscall_sites	kvm	19	0	15	n/a	
static_nolibc_syscall_sites	kvm	20	0	15	n/a	
static_nolibc_syscall_sites	kvm	21	0	15	n/a	
static_nolibc_syscall_sites	kvm	22	0	15	n/a	
static_nolibc_syscall_sites	kvm	23	0	15	n/a	
static_nolibc_syscall_sites	kvm	24	0	15	n/a	
static_nolibc_syscall_sites	kvm	25	0	15	n/a	
static_nolibc_syscall_sites	kvm	26	0	15	n/a	
static_nolibc_syscall_sites	kvm	27	0	15	n/a	
static_nolibc_syscall_sites	kvm	28	0	15	n/a	
static_nolibc_syscall_sites	kvm	29	0	15	n/a	
static_nolibc_syscall_sites	kvm	30	0	15	n/a	
static_nolibc_syscall_sites	dbi	1	0	15	n/a	
static_nolibc_syscall_sites	dbi	2	0	15	n/a	
static_nolibc_syscall_sites	dbi	3	0	15	n/a	
static_nolibc_syscall_sites	dbi	4	0	15	n/a	
static_nolibc_syscall_sites	dbi	5	0	15	n/a	
static_nolibc_syscall_sites	dbi	6	0	15	n/a	
static_nolibc_syscall_sites	dbi	7	0	15	n/a	
static_nolibc_syscall_sites	dbi	8	0	15	n/a	
static_nolibc_syscall_sites	dbi	9	0	15	n/a	
static_nolibc_syscall_sites	dbi	10	0	15	n/a	
static_nolibc_syscall_sites	dbi	11	0	15	n/a	
static_nolibc_syscall_sites	dbi	12	0	15	n/a	
static_nolibc_syscall_sites	dbi	13	0	15	n/a	
static_nolibc_syscall_sites	dbi	14	0	15	n/a	
static_nolibc_syscall_sites	dbi	15	0	15	n/a	
static_nolibc_syscall_sites	dbi	16	0	15	n/a	
static_nolibc_syscall_sites	dbi	17	0	15	n/a	
static_nolibc_syscall_sites	dbi	18	0	15	n/a	
static_nolibc_syscall_sites	dbi	19	0	15	n/a	
static_nolibc_syscall_sites	dbi	20	0	15	n/a	
static_nolibc_syscall_sites	dbi	21	0	15	n/a	
static_nolibc_syscall_sites	dbi	22	0	15	n/a	
static_nolibc_syscall_sites	dbi	23	0	15	n/a	
static_nolibc_syscall_sites	dbi	24	0	15	n/a	
static_nolibc_syscall_sites	dbi	25	0	15	n/a	
static_nolibc_syscall_sites	dbi	26	0	15	n/a	
static_nolibc_syscall_sites	dbi	27	0	15	n/a	
static_nolibc_syscall_sites	dbi	28	0	15	n/a	
static_nolibc_syscall_sites	dbi	29	0	15	n/a	
static_nolibc_syscall_sites	dbi	30	0	15	n/a	
static_nolibc_syscall_sites	sabre	1	0	15	n/a	
static_nolibc_syscall_sites	sabre	2	0	15	n/a	
static_nolibc_syscall_sites	sabre	3	0	15	n/a	
static_nolibc_syscall_sites	sabre	4	0	15	n/a	
static_nolibc_syscall_sites	sabre	5	0	15	n/a	
static_nolibc_syscall_sites	sabre	6	0	15	n/a	
